# Wireless Strength at 60 second intervals.
# Mon 09 Nov 2009 12:15:48 AM PST
2009.11.09-01:17:51	.65
2009.11.09-01:18:51	.67
2009.11.09-01:19:51	.67
2009.11.09-01:20:51	.65
2009.11.09-01:21:51	.65
2009.11.09-01:22:51	.67
2009.11.09-01:23:51	.67
2009.11.09-01:24:52	.67
2009.11.09-01:25:52	0
2009.11.09-01:26:52	.67
2009.11.09-01:27:52	.67
2009.11.09-01:28:52	.67
2009.11.09-01:29:52	.67
2009.11.09-01:30:52	.67
2009.11.09-01:31:52	.67
2009.11.09-01:32:52	.67
2009.11.09-01:33:52	.65
2009.11.09-01:34:52	.67
2009.11.09-01:35:52	.67
2009.11.09-01:36:52	.65
2009.11.09-01:37:52	.67
2009.11.09-01:38:52	.67
2009.11.09-01:39:52	.67
2009.11.09-01:40:52	.34
2009.11.09-01:41:52	.67
2009.11.09-01:42:52	.67
2009.11.09-01:43:52	.34
2009.11.09-01:44:53	.32
2009.11.09-01:45:53	.67
2009.11.09-01:46:53	.67
2009.11.09-01:47:53	.34
2009.11.09-01:48:53	.65
2009.11.09-01:49:53	.67
2009.11.09-01:50:53	.65
2009.11.09-01:51:53	.32
2009.11.09-01:52:53	.67
2009.11.09-01:53:53	.65
2009.11.09-01:54:53	.34
2009.11.09-01:55:53	.65
2009.11.09-01:56:53	.65
2009.11.09-01:57:53	.34
2009.11.09-01:58:53	.65
2009.11.09-01:59:53	.65
2009.11.09-02:00:53	.34
2009.11.09-02:01:53	.34
2009.11.09-02:02:53	.67
2009.11.09-02:03:54	.34
2009.11.09-02:04:54	.34
2009.11.09-02:05:54	.65
2009.11.09-02:06:54	.65
2009.11.09-02:07:54	.34
2009.11.09-02:08:54	.34
2009.11.09-02:09:54	.65
2009.11.09-02:10:54	.67
2009.11.09-02:11:54	.67
2009.11.09-02:12:54	.65
2009.11.09-02:13:54	.67
2009.11.09-02:14:54	.65
2009.11.09-02:15:54	.65
2009.11.09-02:16:54	.65
2009.11.09-02:17:54	.67
2009.11.09-02:18:54	.67
2009.11.09-02:19:55	.65
2009.11.09-02:20:55	.67
2009.11.09-02:21:55	.65
2009.11.09-02:22:55	.67
2009.11.09-02:23:55	.65
2009.11.09-02:24:55	.65
2009.11.09-02:25:55	.65
2009.11.09-02:26:55	.67
2009.11.09-02:27:55	.67
2009.11.09-02:28:55	.67
2009.11.09-02:29:55	.65
2009.11.09-02:30:55	.65
2009.11.09-02:31:55	.65
2009.11.09-02:32:55	.67
2009.11.09-02:33:55	.65
2009.11.09-02:34:55	.67
2009.11.09-02:35:55	.65
2009.11.09-02:36:55	.65
2009.11.09-02:37:55	.67
2009.11.09-02:38:55	.67
2009.11.09-02:39:56	.67
2009.11.09-02:40:56	.34
2009.11.09-02:41:56	.67
2009.11.09-02:42:56	.67
2009.11.09-02:43:56	.67
2009.11.09-02:44:56	.67
2009.11.09-02:45:56	.67
2009.11.09-02:46:56	.67
2009.11.09-02:47:56	.67
2009.11.09-02:48:56	.67
2009.11.09-02:49:56	.67
2009.11.09-02:50:56	.67
2009.11.09-02:51:56	.67
2009.11.09-02:52:56	.67
2009.11.09-02:53:56	.67
2009.11.09-02:54:56	.67
2009.11.09-02:55:56	.67
2009.11.09-02:56:56	.67
2009.11.09-02:57:56	.67
2009.11.09-02:58:56	.67
2009.11.09-02:59:56	.67
2009.11.09-03:00:56	.67
2009.11.09-03:01:56	.65
2009.11.09-03:02:56	.67
2009.11.09-03:03:56	.67
2009.11.09-03:04:57	.67
2009.11.09-03:05:57	.67
2009.11.09-03:06:57	.67
2009.11.09-03:07:57	.67
2009.11.09-03:08:57	.67
2009.11.09-03:09:57	.67
2009.11.09-03:10:57	.67
2009.11.09-03:11:57	.67
2009.11.09-03:12:57	.67
2009.11.09-03:13:57	.67
2009.11.09-03:14:57	.67
2009.11.09-03:15:57	.65
2009.11.09-03:16:57	.65
2009.11.09-03:17:57	.67
2009.11.09-03:18:57	.67
2009.11.09-03:19:57	.67
2009.11.09-03:20:57	.67
2009.11.09-03:21:57	.65
2009.11.09-03:22:57	.67
2009.11.09-03:23:57	.67
2009.11.09-03:24:57	.67
2009.11.09-03:25:57	.34
2009.11.09-03:26:57	.34
2009.11.09-03:27:57	.67
2009.11.09-03:28:57	.67
2009.11.09-03:29:57	.32
2009.11.09-03:30:57	.67
2009.11.09-03:31:58	.65
2009.11.09-03:32:58	.67
2009.11.09-03:33:58	.67
2009.11.09-03:34:58	.67
2009.11.09-03:35:58	.65
2009.11.09-03:36:58	.34
2009.11.09-03:37:58	.67
2009.11.09-03:38:58	.67
2009.11.09-03:39:58	.67
2009.11.09-03:40:58	.32
2009.11.09-03:41:58	.67
2009.11.09-03:42:58	.67
2009.11.09-03:43:58	.65
2009.11.09-03:44:58	.65
2009.11.09-03:45:58	.67
2009.11.09-03:46:58	.67
2009.11.09-03:47:58	.32
2009.11.09-03:48:58	.65
2009.11.09-03:49:58	.65
2009.11.09-03:50:58	.32
2009.11.09-03:51:58	.67
2009.11.09-03:52:58	.67
2009.11.09-03:53:58	.67
2009.11.09-03:54:58	.32
2009.11.09-03:55:58	.67
2009.11.09-03:56:58	.65
2009.11.09-03:57:59	.67
2009.11.09-03:58:59	.32
2009.11.09-03:59:59	.67
2009.11.09-04:00:59	.67
2009.11.09-04:01:59	.67
2009.11.09-04:02:59	.32
2009.11.09-04:03:59	.65
2009.11.09-04:04:59	.67
2009.11.09-04:05:59	.67
2009.11.09-04:06:59	.34
2009.11.09-04:07:59	.67
2009.11.09-04:08:59	.67
2009.11.09-04:09:59	.34
2009.11.09-04:10:59	.34
2009.11.09-04:11:59	.67
2009.11.09-04:12:59	.65
2009.11.09-04:13:59	.34
2009.11.09-04:14:59	.34
2009.11.09-04:15:59	.67
2009.11.09-04:16:59	.67
2009.11.09-04:17:59	.67
2009.11.09-04:18:59	.67
2009.11.09-04:19:59	.67
2009.11.09-04:20:59	.32
2009.11.09-04:21:59	.34
2009.11.09-04:22:59	.67
